vorname,anzahl,geschlecht,position
Marie,77,w,2
Sophie,64,w,2
Maria,53,w,2
Alexander,46,m,2
Charlotte,45,w,2
Anton,41,m,1
Emilia,40,w,1
Maximilian,39,m,2
Emil,39,m,1
Charlotte,39,w,1
Maximilian,36,m,1
Mila,36,w,1
Clara,33,w,1
Jakob,31,m,1
Noah,31,m,1
Elias,29,m,1
Theodor,29,m,1
Mia,28,w,1
Anna,27,w,1
Lina,27,w,1
Alexander,27,m,1
Marie,27,w,1
Elisabeth,26,w,2
Paul,26,m,1
Emma,25,w,1
Jonathan,25,m,1
Leon,25,m,1
Luise,24,w,2
Julius,24,m,1
Levi,24,m,1
Emil,23,m,2
Lea,23,w,1
Ava,22,w,1
Johanna,22,w,1
Ben,22,m,1
Felix,22,m,1
Karl,22,m,1
Niklas,22,m,1
Leonard,21,m,2
Hannah,21,w,1
Sophia,21,w,1
Leonard,21,m,1
Liam,21,m,1
Jonas,20,m,1
Theo,20,m,1
Paul,19,m,2
Greta,19,w,1
Maria,19,w,1
Adam,19,m,1
Leo,19,m,1
Carl,18,m,2
Hanna,18,w,1
Ida,18,w,1
David,18,m,1
Louis,18,m,1
Luca,18,m,1
Anton,17,m,2
Sophia,17,w,2
Elias,17,m,2
Alma,17,w,1
Lara,17,w,1
Lena,17,w,1
Leni,17,w,1
Adrian,17,m,1
Arthur,17,m,1
Finn,17,m,1
Luis,17,m,1
Moritz,17,m,1
Philipp,17,m,1
Anna,16,w,2
Benjamin,16,m,2
Ella,16,w,1
Matilda,16,w,1
Mira,16,w,1
Paula,16,w,1
Thea,16,w,1
Victoria,16,w,1
Lukas,16,m,1
Emilia,15,w,2
Ali,15,m,2
Valentin,15,m,2
Frieda,15,w,1
Helena,15,w,1
Klara,15,w,1
Lia,15,w,1
Valentin,15,m,1
Vincent,15,m,1
Elisa,14,w,1
Leonie,14,w,1
Luise,14,w,1
Olivia,14,w,1
David,13,m,2
Karl,13,m,2
Louis,13,m,2
Ali,13,m,1
Johann,13,m,1
Elena,13,w,1
Kian,13,m,1
Liya,13,w,1
Mateo,13,m,1
Mathilda,13,w,1
Oskar,13,m,1
Nora,13,w,1
Samuel,13,m,1
Sara,13,w,1
Sophie,13,w,1
Johanna,12,w,2
Marlene,12,w,2
Valentina,12,w,2
Simon,12,m,1
Laura,12,w,1
Luisa,12,w,1
Maya,12,w,1
