Vorname,Anzahl,Geschlecht,Position,Jahr,Bezirk
Sophie,66,w,2,2019,charlottenburg-wilmersdorf.csv
Marie,58,w,2,2019,charlottenburg-wilmersdorf.csv
Maria,46,w,2,2019,charlottenburg-wilmersdorf.csv
Noah,40,m,1,2019,charlottenburg-wilmersdorf.csv
Maximilian,39,m,2,2019,charlottenburg-wilmersdorf.csv
Emil,35,m,1,2019,charlottenburg-wilmersdorf.csv
Emilia,34,w,1,2019,charlottenburg-wilmersdorf.csv
Ella,31,w,1,2019,charlottenburg-wilmersdorf.csv
Jakob,31,m,1,2019,charlottenburg-wilmersdorf.csv
Mila,31,w,1,2019,charlottenburg-wilmersdorf.csv
Leon,31,m,1,2019,charlottenburg-wilmersdorf.csv
Alexander,30,m,2,2019,charlottenburg-wilmersdorf.csv
Charlotte,29,w,1,2019,charlottenburg-wilmersdorf.csv
Maximilian,28,m,1,2019,charlottenburg-wilmersdorf.csv
Charlotte,27,w,2,2019,charlottenburg-wilmersdorf.csv
Emma,26,w,1,2019,charlottenburg-wilmersdorf.csv
Paul,26,m,1,2019,charlottenburg-wilmersdorf.csv
Mia,26,w,1,2019,charlottenburg-wilmersdorf.csv
Sophie,26,w,1,2019,charlottenburg-wilmersdorf.csv
Paul,25,m,2,2019,charlottenburg-wilmersdorf.csv
Theodor,24,m,1,2019,charlottenburg-wilmersdorf.csv
Alexander,23,m,1,2019,charlottenburg-wilmersdorf.csv
Ida,23,w,1,2019,charlottenburg-wilmersdorf.csv
Jonathan,23,m,1,2019,charlottenburg-wilmersdorf.csv
Sophia,23,w,1,2019,charlottenburg-wilmersdorf.csv
Leonard,23,m,1,2019,charlottenburg-wilmersdorf.csv
Theo,23,m,1,2019,charlottenburg-wilmersdorf.csv
Jonas,22,m,1,2019,charlottenburg-wilmersdorf.csv
Friedrich,21,m,2,2019,charlottenburg-wilmersdorf.csv
Anna,21,w,1,2019,charlottenburg-wilmersdorf.csv
Lea,21,w,1,2019,charlottenburg-wilmersdorf.csv
Clara,20,w,1,2019,charlottenburg-wilmersdorf.csv
Anton,20,m,1,2019,charlottenburg-wilmersdorf.csv
Helena,20,w,1,2019,charlottenburg-wilmersdorf.csv
David,20,m,1,2019,charlottenburg-wilmersdorf.csv
Lara,20,w,1,2019,charlottenburg-wilmersdorf.csv
Elias,20,m,1,2019,charlottenburg-wilmersdorf.csv
Leo,20,m,1,2019,charlottenburg-wilmersdorf.csv
Luca,20,m,1,2019,charlottenburg-wilmersdorf.csv
Elias,19,m,2,2019,charlottenburg-wilmersdorf.csv
Emilia,19,w,2,2019,charlottenburg-wilmersdorf.csv
Lena,19,w,1,2019,charlottenburg-wilmersdorf.csv
Ilyas,19,m,1,2019,charlottenburg-wilmersdorf.csv
Alma,18,w,1,2019,charlottenburg-wilmersdorf.csv
Hanna,18,w,1,2019,charlottenburg-wilmersdorf.csv
Hannah,18,w,1,2019,charlottenburg-wilmersdorf.csv
Elisabeth,17,w,2,2019,charlottenburg-wilmersdorf.csv
Felix,17,m,1,2019,charlottenburg-wilmersdorf.csv
Amelie,17,w,1,2019,charlottenburg-wilmersdorf.csv
Louis,17,m,1,2019,charlottenburg-wilmersdorf.csv
Laura,17,w,1,2019,charlottenburg-wilmersdorf.csv
Lukas,17,m,1,2019,charlottenburg-wilmersdorf.csv
Mathilda,17,w,1,2019,charlottenburg-wilmersdorf.csv
Oskar,17,m,1,2019,charlottenburg-wilmersdorf.csv
Mira,17,w,1,2019,charlottenburg-wilmersdorf.csv
Paula,17,w,1,2019,charlottenburg-wilmersdorf.csv
Marie,16,w,3,2019,charlottenburg-wilmersdorf.csv
Sophia,16,w,2,2019,charlottenburg-wilmersdorf.csv
Henry,16,m,1,2019,charlottenburg-wilmersdorf.csv
Leopold,16,m,1,2019,charlottenburg-wilmersdorf.csv
Johanna,16,w,1,2019,charlottenburg-wilmersdorf.csv
Levi,16,m,1,2019,charlottenburg-wilmersdorf.csv
Lina,16,w,1,2019,charlottenburg-wilmersdorf.csv
Max,16,m,1,2019,charlottenburg-wilmersdorf.csv
Nora,16,w,1,2019,charlottenburg-wilmersdorf.csv
Samuel,16,m,1,2019,charlottenburg-wilmersdorf.csv
Johanna,15,w,2,2019,charlottenburg-wilmersdorf.csv
Marie,15,w,1,2019,charlottenburg-wilmersdorf.csv
Karl,15,m,1,2019,charlottenburg-wilmersdorf.csv
Maya,15,w,1,2019,charlottenburg-wilmersdorf.csv
Liam,15,m,1,2019,charlottenburg-wilmersdorf.csv
Sofia,15,w,1,2019,charlottenburg-wilmersdorf.csv
Matteo,15,m,1,2019,charlottenburg-wilmersdorf.csv
Milan,15,m,1,2019,charlottenburg-wilmersdorf.csv
Anton,14,m,2,2019,charlottenburg-wilmersdorf.csv
Karl,14,m,2,2019,charlottenburg-wilmersdorf.csv
Luise,14,w,2,2019,charlottenburg-wilmersdorf.csv
Emily,14,w,1,2019,charlottenburg-wilmersdorf.csv
Greta,14,w,1,2019,charlottenburg-wilmersdorf.csv
Adam,14,m,1,2019,charlottenburg-wilmersdorf.csv
Lia,14,w,1,2019,charlottenburg-wilmersdorf.csv
Arthur,14,m,1,2019,charlottenburg-wilmersdorf.csv
Liya,14,w,1,2019,charlottenburg-wilmersdorf.csv
Benjamin,14,m,1,2019,charlottenburg-wilmersdorf.csv
Daniel,14,m,1,2019,charlottenburg-wilmersdorf.csv
Vincent,14,m,1,2019,charlottenburg-wilmersdorf.csv
Theodor,13,m,2,2019,charlottenburg-wilmersdorf.csv
Carla,13,w,1,2019,charlottenburg-wilmersdorf.csv
Ela,13,w,1,2019,charlottenburg-wilmersdorf.csv
Isabella,13,w,1,2019,charlottenburg-wilmersdorf.csv
Ben,13,m,1,2019,charlottenburg-wilmersdorf.csv
Leni,13,w,1,2019,charlottenburg-wilmersdorf.csv
Bruno,13,m,1,2019,charlottenburg-wilmersdorf.csv
Carl,13,m,1,2019,charlottenburg-wilmersdorf.csv
Jonah,13,m,1,2019,charlottenburg-wilmersdorf.csv
