Vorname,Anzahl,Geschlecht,Jahr,Bezirk
Marie,111,w,2016,charlottenburg-wilmersdorf.csv
Sophie,105,w,2016,charlottenburg-wilmersdorf.csv
Charlotte,73,w,2016,charlottenburg-wilmersdorf.csv
Emilia,73,w,2016,charlottenburg-wilmersdorf.csv
Alexander,68,m,2016,charlottenburg-wilmersdorf.csv
Maria,65,w,2016,charlottenburg-wilmersdorf.csv
Elias,54,m,2016,charlottenburg-wilmersdorf.csv
Noah,54,m,2016,charlottenburg-wilmersdorf.csv
Maximilian,53,m,2016,charlottenburg-wilmersdorf.csv
Paul,51,m,2016,charlottenburg-wilmersdorf.csv
Johanna,50,w,2016,charlottenburg-wilmersdorf.csv
Luise,49,w,2016,charlottenburg-wilmersdorf.csv
Felix,47,m,2016,charlottenburg-wilmersdorf.csv
Sophia,47,w,2016,charlottenburg-wilmersdorf.csv
Elisabeth,45,w,2016,charlottenburg-wilmersdorf.csv
Ali,41,m,2016,charlottenburg-wilmersdorf.csv
Leon,38,m,2016,charlottenburg-wilmersdorf.csv
Mia,38,w,2016,charlottenburg-wilmersdorf.csv
Anton,37,m,2016,charlottenburg-wilmersdorf.csv
Jonathan,37,m,2016,charlottenburg-wilmersdorf.csv
Anna,36,w,2016,charlottenburg-wilmersdorf.csv
Emil,35,m,2016,charlottenburg-wilmersdorf.csv
Johann,33,m,2016,charlottenburg-wilmersdorf.csv
Clara,33,w,2016,charlottenburg-wilmersdorf.csv
David,32,m,2016,charlottenburg-wilmersdorf.csv
Jakob,32,m,2016,charlottenburg-wilmersdorf.csv
Theodor,32,m,2016,charlottenburg-wilmersdorf.csv
Luisa,31,w,2016,charlottenburg-wilmersdorf.csv
Julian,31,m,2016,charlottenburg-wilmersdorf.csv
Leonard,31,m,2016,charlottenburg-wilmersdorf.csv
Ida,30,w,2016,charlottenburg-wilmersdorf.csv
Mila,30,w,2016,charlottenburg-wilmersdorf.csv
Oskar,30,m,2016,charlottenburg-wilmersdorf.csv
Emma,29,w,2016,charlottenburg-wilmersdorf.csv
Friedrich,29,m,2016,charlottenburg-wilmersdorf.csv
Karl,29,m,2016,charlottenburg-wilmersdorf.csv
Helena,27,w,2016,charlottenburg-wilmersdorf.csv
Adam,27,m,2016,charlottenburg-wilmersdorf.csv
Jonas,27,m,2016,charlottenburg-wilmersdorf.csv
Konstantin,27,m,2016,charlottenburg-wilmersdorf.csv
Julius,26,m,2016,charlottenburg-wilmersdorf.csv
Liam,26,m,2016,charlottenburg-wilmersdorf.csv
Lina,25,w,2016,charlottenburg-wilmersdorf.csv
Henri,25,m,2016,charlottenburg-wilmersdorf.csv
Theo,25,m,2016,charlottenburg-wilmersdorf.csv
Lea,24,w,2016,charlottenburg-wilmersdorf.csv
Marlene,24,w,2016,charlottenburg-wilmersdorf.csv
Benjamin,24,m,2016,charlottenburg-wilmersdorf.csv
Moritz,24,m,2016,charlottenburg-wilmersdorf.csv
Elisa,23,w,2016,charlottenburg-wilmersdorf.csv
Leonie,23,w,2016,charlottenburg-wilmersdorf.csv
Johannes,23,m,2016,charlottenburg-wilmersdorf.csv
Joshua,23,m,2016,charlottenburg-wilmersdorf.csv
Amelie,22,w,2016,charlottenburg-wilmersdorf.csv
Katharina,22,w,2016,charlottenburg-wilmersdorf.csv
Victoria,22,w,2016,charlottenburg-wilmersdorf.csv
Louis,22,m,2016,charlottenburg-wilmersdorf.csv
Samuel,22,m,2016,charlottenburg-wilmersdorf.csv
Helene,21,w,2016,charlottenburg-wilmersdorf.csv
Josephine,21,w,2016,charlottenburg-wilmersdorf.csv
Mira,21,w,2016,charlottenburg-wilmersdorf.csv
Sarah,21,w,2016,charlottenburg-wilmersdorf.csv
Daniel,21,m,2016,charlottenburg-wilmersdorf.csv
Frederik,21,m,2016,charlottenburg-wilmersdorf.csv
Leo,21,m,2016,charlottenburg-wilmersdorf.csv
Luca,21,m,2016,charlottenburg-wilmersdorf.csv
Milan,21,m,2016,charlottenburg-wilmersdorf.csv
Valentin,21,m,2016,charlottenburg-wilmersdorf.csv
Ella,20,w,2016,charlottenburg-wilmersdorf.csv
Sofia,20,w,2016,charlottenburg-wilmersdorf.csv
Linus,20,m,2016,charlottenburg-wilmersdorf.csv
