Vorname,Anzahl,Geschlecht,Jahr,Bezirk
Marie,115,w,2015,charlottenburg-wilmersdorf.csv
Sophie,109,w,2015,charlottenburg-wilmersdorf.csv
Charlotte,79,w,2015,charlottenburg-wilmersdorf.csv
Maria,77,w,2015,charlottenburg-wilmersdorf.csv
Alexander,62,m,2015,charlottenburg-wilmersdorf.csv
Emilia,60,w,2015,charlottenburg-wilmersdorf.csv
Maximilian,59,m,2015,charlottenburg-wilmersdorf.csv
Emma,48,w,2015,charlottenburg-wilmersdorf.csv
Paul,46,m,2015,charlottenburg-wilmersdorf.csv
Elias,45,m,2015,charlottenburg-wilmersdorf.csv
Noah,44,m,2015,charlottenburg-wilmersdorf.csv
Anna,43,w,2015,charlottenburg-wilmersdorf.csv
Luise,43,w,2015,charlottenburg-wilmersdorf.csv
Sophia,42,w,2015,charlottenburg-wilmersdorf.csv
Anton,41,m,2015,charlottenburg-wilmersdorf.csv
Jakob,40,m,2015,charlottenburg-wilmersdorf.csv
Jonathan,40,m,2015,charlottenburg-wilmersdorf.csv
Clara,40,w,2015,charlottenburg-wilmersdorf.csv
Emil,38,m,2015,charlottenburg-wilmersdorf.csv
Felix,38,m,2015,charlottenburg-wilmersdorf.csv
Elisabeth,38,w,2015,charlottenburg-wilmersdorf.csv
Jonas,34,m,2015,charlottenburg-wilmersdorf.csv
Valentin,33,m,2015,charlottenburg-wilmersdorf.csv
Mia,33,w,2015,charlottenburg-wilmersdorf.csv
David,32,m,2015,charlottenburg-wilmersdorf.csv
Johanna,32,w,2015,charlottenburg-wilmersdorf.csv
Mila,31,w,2015,charlottenburg-wilmersdorf.csv
Julian,30,m,2015,charlottenburg-wilmersdorf.csv
Oskar,30,m,2015,charlottenburg-wilmersdorf.csv
Hannah,29,w,2015,charlottenburg-wilmersdorf.csv
Gabriel,29,m,2015,charlottenburg-wilmersdorf.csv
Moritz,29,m,2015,charlottenburg-wilmersdorf.csv
Benjamin,28,m,2015,charlottenburg-wilmersdorf.csv
Julius,28,m,2015,charlottenburg-wilmersdorf.csv
Theodor,28,m,2015,charlottenburg-wilmersdorf.csv
Helene,27,w,2015,charlottenburg-wilmersdorf.csv
Adam,27,m,2015,charlottenburg-wilmersdorf.csv
Elisa,26,w,2015,charlottenburg-wilmersdorf.csv
Lina,26,w,2015,charlottenburg-wilmersdorf.csv
Johannes,26,m,2015,charlottenburg-wilmersdorf.csv
Philipp,26,m,2015,charlottenburg-wilmersdorf.csv
Samuel,26,m,2015,charlottenburg-wilmersdorf.csv
Laura,25,w,2015,charlottenburg-wilmersdorf.csv
Mathilda,25,w,2015,charlottenburg-wilmersdorf.csv
Lara,24,w,2015,charlottenburg-wilmersdorf.csv
Carl,24,m,2015,charlottenburg-wilmersdorf.csv
Friedrich,24,m,2015,charlottenburg-wilmersdorf.csv
Ben,23,m,2015,charlottenburg-wilmersdorf.csv
Daniel,23,m,2015,charlottenburg-wilmersdorf.csv
Henri,23,m,2015,charlottenburg-wilmersdorf.csv
Johann,23,m,2015,charlottenburg-wilmersdorf.csv
Liam,23,m,2015,charlottenburg-wilmersdorf.csv
Lukas,23,m,2015,charlottenburg-wilmersdorf.csv
Katharina,22,w,2015,charlottenburg-wilmersdorf.csv
Marlene,22,w,2015,charlottenburg-wilmersdorf.csv
Matilda,22,w,2015,charlottenburg-wilmersdorf.csv
Nora,22,w,2015,charlottenburg-wilmersdorf.csv
Henry,22,m,2015,charlottenburg-wilmersdorf.csv
Karl,22,m,2015,charlottenburg-wilmersdorf.csv
Leon,22,m,2015,charlottenburg-wilmersdorf.csv
Ella,21,w,2015,charlottenburg-wilmersdorf.csv
Helena,21,w,2015,charlottenburg-wilmersdorf.csv
Luis,21,m,2015,charlottenburg-wilmersdorf.csv
Lucia,20,w,2015,charlottenburg-wilmersdorf.csv
Victoria,20,w,2015,charlottenburg-wilmersdorf.csv
Louis,20,m,2015,charlottenburg-wilmersdorf.csv
Max,20,m,2015,charlottenburg-wilmersdorf.csv
Antonia,19,w,2015,charlottenburg-wilmersdorf.csv
Frieda,19,w,2015,charlottenburg-wilmersdorf.csv
Louisa,19,w,2015,charlottenburg-wilmersdorf.csv
Sofia,19,w,2015,charlottenburg-wilmersdorf.csv
Leopold,19,m,2015,charlottenburg-wilmersdorf.csv
Levi,19,m,2015,charlottenburg-wilmersdorf.csv
Linus,19,m,2015,charlottenburg-wilmersdorf.csv
Tim,19,m,2015,charlottenburg-wilmersdorf.csv
Carlotta,18,w,2015,charlottenburg-wilmersdorf.csv
Elif,18,w,2015,charlottenburg-wilmersdorf.csv
Ida,18,w,2015,charlottenburg-wilmersdorf.csv
Isabella,18,w,2015,charlottenburg-wilmersdorf.csv
Luisa,18,w,2015,charlottenburg-wilmersdorf.csv
Ali,18,m,2015,charlottenburg-wilmersdorf.csv
Luca,18,m,2015,charlottenburg-wilmersdorf.csv
Michael,18,m,2015,charlottenburg-wilmersdorf.csv
Vincent,18,m,2015,charlottenburg-wilmersdorf.csv
Lea,17,w,2015,charlottenburg-wilmersdorf.csv
Mira,17,w,2015,charlottenburg-wilmersdorf.csv
Adrian,17,m,2015,charlottenburg-wilmersdorf.csv
Leonard,17,m,2015,charlottenburg-wilmersdorf.csv
Hanna,16,w,2015,charlottenburg-wilmersdorf.csv
Lena,16,w,2015,charlottenburg-wilmersdorf.csv
Paula,16,w,2015,charlottenburg-wilmersdorf.csv
Sara,16,w,2015,charlottenburg-wilmersdorf.csv
Ferdinand,16,m,2015,charlottenburg-wilmersdorf.csv
Finn,16,m,2015,charlottenburg-wilmersdorf.csv
Amalia,15,w,2015,charlottenburg-wilmersdorf.csv
Amelie,15,w,2015,charlottenburg-wilmersdorf.csv
Lotta,15,w,2015,charlottenburg-wilmersdorf.csv
Arthur,15,m,2015,charlottenburg-wilmersdorf.csv
Kilian,15,m,2015,charlottenburg-wilmersdorf.csv
Leo,15,m,2015,charlottenburg-wilmersdorf.csv
Matteo,15,m,2015,charlottenburg-wilmersdorf.csv
Milan,15,m,2015,charlottenburg-wilmersdorf.csv
Milo,15,m,2015,charlottenburg-wilmersdorf.csv
Niklas,15,m,2015,charlottenburg-wilmersdorf.csv
Peter,15,m,2015,charlottenburg-wilmersdorf.csv
Simon,15,m,2015,charlottenburg-wilmersdorf.csv
Tom,15,m,2015,charlottenburg-wilmersdorf.csv
Ava,14,w,2015,charlottenburg-wilmersdorf.csv
Elena,14,w,2015,charlottenburg-wilmersdorf.csv
Greta,14,w,2015,charlottenburg-wilmersdorf.csv
Josephine,14,w,2015,charlottenburg-wilmersdorf.csv
Martha,14,w,2015,charlottenburg-wilmersdorf.csv
Maya,14,w,2015,charlottenburg-wilmersdorf.csv
Christian,14,m,2015,charlottenburg-wilmersdorf.csv
Georg,14,m,2015,charlottenburg-wilmersdorf.csv
Jonah,14,m,2015,charlottenburg-wilmersdorf.csv
Konrad,14,m,2015,charlottenburg-wilmersdorf.csv
Leander,14,m,2015,charlottenburg-wilmersdorf.csv
Martin,14,m,2015,charlottenburg-wilmersdorf.csv
Richard,14,m,2015,charlottenburg-wilmersdorf.csv
Ela,13,w,2015,charlottenburg-wilmersdorf.csv
Emily,13,w,2015,charlottenburg-wilmersdorf.csv
Leonie,13,w,2015,charlottenburg-wilmersdorf.csv
Lisa,13,w,2015,charlottenburg-wilmersdorf.csv
Livia,13,w,2015,charlottenburg-wilmersdorf.csv
Valentina,13,w,2015,charlottenburg-wilmersdorf.csv
Viktoria,13,w,2015,charlottenburg-wilmersdorf.csv
Aaron,13,m,2015,charlottenburg-wilmersdorf.csv
Emilio,13,m,2015,charlottenburg-wilmersdorf.csv
Fritz,13,m,2015,charlottenburg-wilmersdorf.csv
Jannis,13,m,2015,charlottenburg-wilmersdorf.csv
Jasper,13,m,2015,charlottenburg-wilmersdorf.csv
Raphael,13,m,2015,charlottenburg-wilmersdorf.csv
Alina,12,w,2015,charlottenburg-wilmersdorf.csv
Alma,12,w,2015,charlottenburg-wilmersdorf.csv
Frida,12,w,2015,charlottenburg-wilmersdorf.csv
Lilly,12,w,2015,charlottenburg-wilmersdorf.csv
Olivia,12,w,2015,charlottenburg-wilmersdorf.csv
Paulina,12,w,2015,charlottenburg-wilmersdorf.csv
Antonio,12,m,2015,charlottenburg-wilmersdorf.csv
Constantin,12,m,2015,charlottenburg-wilmersdorf.csv
Franz,12,m,2015,charlottenburg-wilmersdorf.csv
Frederik,12,m,2015,charlottenburg-wilmersdorf.csv
Jacob,12,m,2015,charlottenburg-wilmersdorf.csv
Jan,12,m,2015,charlottenburg-wilmersdorf.csv
Justus,12,m,2015,charlottenburg-wilmersdorf.csv
Mateo,12,m,2015,charlottenburg-wilmersdorf.csv
Maxim,12,m,2015,charlottenburg-wilmersdorf.csv
Josefine,11,w,2015,charlottenburg-wilmersdorf.csv
Louise,11,w,2015,charlottenburg-wilmersdorf.csv
Luna,11,w,2015,charlottenburg-wilmersdorf.csv
Mina,11,w,2015,charlottenburg-wilmersdorf.csv
Tilda,11,w,2015,charlottenburg-wilmersdorf.csv
Emilian,11,m,2015,charlottenburg-wilmersdorf.csv
Florian,11,m,2015,charlottenburg-wilmersdorf.csv
Hannes,11,m,2015,charlottenburg-wilmersdorf.csv
Ludwig,11,m,2015,charlottenburg-wilmersdorf.csv
Mika,11,m,2015,charlottenburg-wilmersdorf.csv
Muhammed,11,m,2015,charlottenburg-wilmersdorf.csv
Ole,11,m,2015,charlottenburg-wilmersdorf.csv
Oliver,11,m,2015,charlottenburg-wilmersdorf.csv
Rafael,11,m,2015,charlottenburg-wilmersdorf.csv
Theo,11,m,2015,charlottenburg-wilmersdorf.csv
William,11,m,2015,charlottenburg-wilmersdorf.csv
Amelia,10,w,2015,charlottenburg-wilmersdorf.csv
Isabel,10,w,2015,charlottenburg-wilmersdorf.csv
Julia,10,w,2015,charlottenburg-wilmersdorf.csv
Lia,10,w,2015,charlottenburg-wilmersdorf.csv
Magdalena,10,w,2015,charlottenburg-wilmersdorf.csv
Maja,10,w,2015,charlottenburg-wilmersdorf.csv
Nele,10,w,2015,charlottenburg-wilmersdorf.csv
Rosa,10,w,2015,charlottenburg-wilmersdorf.csv
Sarah,10,w,2015,charlottenburg-wilmersdorf.csv
Amir,10,m,2015,charlottenburg-wilmersdorf.csv
Benedikt,10,m,2015,charlottenburg-wilmersdorf.csv
Konstantin,10,m,2015,charlottenburg-wilmersdorf.csv
Luka,10,m,2015,charlottenburg-wilmersdorf.csv
Mattis,10,m,2015,charlottenburg-wilmersdorf.csv
Wilhelm,10,m,2015,charlottenburg-wilmersdorf.csv
Alexandra,9,w,2015,charlottenburg-wilmersdorf.csv
Amira,9,w,2015,charlottenburg-wilmersdorf.csv
Anastasia,9,w,2015,charlottenburg-wilmersdorf.csv
Carla,9,w,2015,charlottenburg-wilmersdorf.csv
Emilie,9,w,2015,charlottenburg-wilmersdorf.csv
Malou,9,w,2015,charlottenburg-wilmersdorf.csv
Mara,9,w,2015,charlottenburg-wilmersdorf.csv
Milena,9,w,2015,charlottenburg-wilmersdorf.csv
Rosalie,9,w,2015,charlottenburg-wilmersdorf.csv
Zoe,9,w,2015,charlottenburg-wilmersdorf.csv
Can,9,m,2015,charlottenburg-wilmersdorf.csv
Caspar,9,m,2015,charlottenburg-wilmersdorf.csv
Fabian,9,m,2015,charlottenburg-wilmersdorf.csv
Jürgen,9,m,2015,charlottenburg-wilmersdorf.csv
Karim,9,m,2015,charlottenburg-wilmersdorf.csv
Lennard,9,m,2015,charlottenburg-wilmersdorf.csv
Leonardo,9,m,2015,charlottenburg-wilmersdorf.csv
Malik,9,m,2015,charlottenburg-wilmersdorf.csv
Mohamed,9,m,2015,charlottenburg-wilmersdorf.csv
Nicolas,9,m,2015,charlottenburg-wilmersdorf.csv
Thomas,9,m,2015,charlottenburg-wilmersdorf.csv
Tobias,9,m,2015,charlottenburg-wilmersdorf.csv
Ada,8,w,2015,charlottenburg-wilmersdorf.csv
Amina,8,w,2015,charlottenburg-wilmersdorf.csv
Anni,8,w,2015,charlottenburg-wilmersdorf.csv
Elise,8,w,2015,charlottenburg-wilmersdorf.csv
Lana,8,w,2015,charlottenburg-wilmersdorf.csv
Lotte,8,w,2015,charlottenburg-wilmersdorf.csv
Madeleine,8,w,2015,charlottenburg-wilmersdorf.csv
Melina,8,w,2015,charlottenburg-wilmersdorf.csv
Selma,8,w,2015,charlottenburg-wilmersdorf.csv
Theresa,8,w,2015,charlottenburg-wilmersdorf.csv
Andreas,8,m,2015,charlottenburg-wilmersdorf.csv
August,8,m,2015,charlottenburg-wilmersdorf.csv
Bruno,8,m,2015,charlottenburg-wilmersdorf.csv
Emin,8,m,2015,charlottenburg-wilmersdorf.csv
Erik,8,m,2015,charlottenburg-wilmersdorf.csv
Hugo,8,m,2015,charlottenburg-wilmersdorf.csv
Joshua,8,m,2015,charlottenburg-wilmersdorf.csv
Kaan,8,m,2015,charlottenburg-wilmersdorf.csv
Lasse,8,m,2015,charlottenburg-wilmersdorf.csv
Levin,8,m,2015,charlottenburg-wilmersdorf.csv
Lucas,8,m,2015,charlottenburg-wilmersdorf.csv
Nikolas,8,m,2015,charlottenburg-wilmersdorf.csv
Noel,8,m,2015,charlottenburg-wilmersdorf.csv
Otto,8,m,2015,charlottenburg-wilmersdorf.csv
Stefan,8,m,2015,charlottenburg-wilmersdorf.csv
Elina,7,w,2015,charlottenburg-wilmersdorf.csv
Elli,7,w,2015,charlottenburg-wilmersdorf.csv
Estelle,7,w,2015,charlottenburg-wilmersdorf.csv
Finja,7,w,2015,charlottenburg-wilmersdorf.csv
Florentine,7,w,2015,charlottenburg-wilmersdorf.csv
Franziska,7,w,2015,charlottenburg-wilmersdorf.csv
Isabelle,7,w,2015,charlottenburg-wilmersdorf.csv
Karla,7,w,2015,charlottenburg-wilmersdorf.csv
Klara,7,w,2015,charlottenburg-wilmersdorf.csv
Lilith,7,w,2015,charlottenburg-wilmersdorf.csv
Liv,7,w,2015,charlottenburg-wilmersdorf.csv
Lola,7,w,2015,charlottenburg-wilmersdorf.csv
Pauline,7,w,2015,charlottenburg-wilmersdorf.csv
Pia,7,w,2015,charlottenburg-wilmersdorf.csv
Elyas,7,m,2015,charlottenburg-wilmersdorf.csv
Emanuel,7,m,2015,charlottenburg-wilmersdorf.csv
Emir,7,m,2015,charlottenburg-wilmersdorf.csv
Gustav,7,m,2015,charlottenburg-wilmersdorf.csv
James,7,m,2015,charlottenburg-wilmersdorf.csv
Kian,7,m,2015,charlottenburg-wilmersdorf.csv
Lionel,7,m,2015,charlottenburg-wilmersdorf.csv
Mark,7,m,2015,charlottenburg-wilmersdorf.csv
Philip,7,m,2015,charlottenburg-wilmersdorf.csv
Robert,7,m,2015,charlottenburg-wilmersdorf.csv
Sami,7,m,2015,charlottenburg-wilmersdorf.csv
Victor,7,m,2015,charlottenburg-wilmersdorf.csv
Ömer,7,m,2015,charlottenburg-wilmersdorf.csv
Amélie,6,w,2015,charlottenburg-wilmersdorf.csv
Aurelia,6,w,2015,charlottenburg-wilmersdorf.csv
Christina,6,w,2015,charlottenburg-wilmersdorf.csv
Edda,6,w,2015,charlottenburg-wilmersdorf.csv
Eva,6,w,2015,charlottenburg-wilmersdorf.csv
Gerda,6,w,2015,charlottenburg-wilmersdorf.csv
Leni,6,w,2015,charlottenburg-wilmersdorf.csv
Leyla,6,w,2015,charlottenburg-wilmersdorf.csv
Melissa,6,w,2015,charlottenburg-wilmersdorf.csv
Miriam,6,w,2015,charlottenburg-wilmersdorf.csv
Mona,6,w,2015,charlottenburg-wilmersdorf.csv
Philine,6,w,2015,charlottenburg-wilmersdorf.csv
Rose,6,w,2015,charlottenburg-wilmersdorf.csv
Ruth,6,w,2015,charlottenburg-wilmersdorf.csv
Su,6,w,2015,charlottenburg-wilmersdorf.csv
Yade,6,w,2015,charlottenburg-wilmersdorf.csv
Zeynep,6,w,2015,charlottenburg-wilmersdorf.csv
Alfred,6,m,2015,charlottenburg-wilmersdorf.csv
Edgar,6,m,2015,charlottenburg-wilmersdorf.csv
Fynn,6,m,2015,charlottenburg-wilmersdorf.csv
Hans,6,m,2015,charlottenburg-wilmersdorf.csv
Hendrik,6,m,2015,charlottenburg-wilmersdorf.csv
Jona,6,m,2015,charlottenburg-wilmersdorf.csv
Josef,6,m,2015,charlottenburg-wilmersdorf.csv
Kalle,6,m,2015,charlottenburg-wilmersdorf.csv
Kenan,6,m,2015,charlottenburg-wilmersdorf.csv
Malte,6,m,2015,charlottenburg-wilmersdorf.csv
Mats,6,m,2015,charlottenburg-wilmersdorf.csv
Mikail,6,m,2015,charlottenburg-wilmersdorf.csv
Neo,6,m,2015,charlottenburg-wilmersdorf.csv
Nikolai,6,m,2015,charlottenburg-wilmersdorf.csv
Sebastian,6,m,2015,charlottenburg-wilmersdorf.csv
Valentino,6,m,2015,charlottenburg-wilmersdorf.csv
Willi,6,m,2015,charlottenburg-wilmersdorf.csv
Wolfgang,6,m,2015,charlottenburg-wilmersdorf.csv
Andrea,5,w,2015,charlottenburg-wilmersdorf.csv
Anouk,5,w,2015,charlottenburg-wilmersdorf.csv
Caroline,5,w,2015,charlottenburg-wilmersdorf.csv
