Vorname,Anzahl,Geschlecht,Jahr,Bezirk
Marie,122,w,2012,charlottenburg-wilmersdorf.csv
Sophie,105,w,2012,charlottenburg-wilmersdorf.csv
Charlotte,78,w,2012,charlottenburg-wilmersdorf.csv
Maria,69,w,2012,charlottenburg-wilmersdorf.csv
Paul,66,m,2012,charlottenburg-wilmersdorf.csv
Emilia,61,w,2012,charlottenburg-wilmersdorf.csv
Maximilian,59,m,2012,charlottenburg-wilmersdorf.csv
Elias,55,m,2012,charlottenburg-wilmersdorf.csv
Luise,54,w,2012,charlottenburg-wilmersdorf.csv
Alexander,53,m,2012,charlottenburg-wilmersdorf.csv
Anna,52,w,2012,charlottenburg-wilmersdorf.csv
Jakob,51,m,2012,charlottenburg-wilmersdorf.csv
Anton,49,m,2012,charlottenburg-wilmersdorf.csv
Emma,45,w,2012,charlottenburg-wilmersdorf.csv
Johanna,45,w,2012,charlottenburg-wilmersdorf.csv
David,44,m,2012,charlottenburg-wilmersdorf.csv
Noah,43,m,2012,charlottenburg-wilmersdorf.csv
Felix,42,m,2012,charlottenburg-wilmersdorf.csv
Leon,41,m,2012,charlottenburg-wilmersdorf.csv
Elisabeth,39,w,2012,charlottenburg-wilmersdorf.csv
Jonathan,39,m,2012,charlottenburg-wilmersdorf.csv
Mia,39,w,2012,charlottenburg-wilmersdorf.csv
Sophia,39,w,2012,charlottenburg-wilmersdorf.csv
Emil,38,m,2012,charlottenburg-wilmersdorf.csv
Oskar,35,m,2012,charlottenburg-wilmersdorf.csv
Helene,34,w,2012,charlottenburg-wilmersdorf.csv
Benjamin,33,m,2012,charlottenburg-wilmersdorf.csv
Jonas,33,m,2012,charlottenburg-wilmersdorf.csv
Ben,31,m,2012,charlottenburg-wilmersdorf.csv
Elisa,27,w,2012,charlottenburg-wilmersdorf.csv
Luisa,26,w,2012,charlottenburg-wilmersdorf.csv
Hannah,25,w,2012,charlottenburg-wilmersdorf.csv
Friedrich,25,m,2012,charlottenburg-wilmersdorf.csv
Laura,25,w,2012,charlottenburg-wilmersdorf.csv
Moritz,25,m,2012,charlottenburg-wilmersdorf.csv
Marlene,25,w,2012,charlottenburg-wilmersdorf.csv
Theodor,25,m,2012,charlottenburg-wilmersdorf.csv
Valentin,25,m,2012,charlottenburg-wilmersdorf.csv
Vincent,25,m,2012,charlottenburg-wilmersdorf.csv
Clara,24,w,2012,charlottenburg-wilmersdorf.csv
Julian,24,m,2012,charlottenburg-wilmersdorf.csv
Leonard,24,m,2012,charlottenburg-wilmersdorf.csv
Helena,23,w,2012,charlottenburg-wilmersdorf.csv
Lina,23,w,2012,charlottenburg-wilmersdorf.csv
Samuel,23,m,2012,charlottenburg-wilmersdorf.csv
Victoria,22,w,2012,charlottenburg-wilmersdorf.csv
Johann,22,m,2012,charlottenburg-wilmersdorf.csv
Levi,22,m,2012,charlottenburg-wilmersdorf.csv
Lukas,22,m,2012,charlottenburg-wilmersdorf.csv
Isabella,21,w,2012,charlottenburg-wilmersdorf.csv
Matilda,21,w,2012,charlottenburg-wilmersdorf.csv
Maya,21,w,2012,charlottenburg-wilmersdorf.csv
Mina,21,w,2012,charlottenburg-wilmersdorf.csv
Jan,21,m,2012,charlottenburg-wilmersdorf.csv
Luca,21,m,2012,charlottenburg-wilmersdorf.csv
Tim,21,m,2012,charlottenburg-wilmersdorf.csv
Antonia,20,w,2012,charlottenburg-wilmersdorf.csv
Ella,20,w,2012,charlottenburg-wilmersdorf.csv
Valentina,20,w,2012,charlottenburg-wilmersdorf.csv
Julius,20,m,2012,charlottenburg-wilmersdorf.csv
Greta,19,w,2012,charlottenburg-wilmersdorf.csv
Magdalena,19,w,2012,charlottenburg-wilmersdorf.csv
Carl,19,m,2012,charlottenburg-wilmersdorf.csv
Mathilda,19,w,2012,charlottenburg-wilmersdorf.csv
Daniel,19,m,2012,charlottenburg-wilmersdorf.csv
Pauline,19,w,2012,charlottenburg-wilmersdorf.csv
Johannes,19,m,2012,charlottenburg-wilmersdorf.csv
Leo,19,m,2012,charlottenburg-wilmersdorf.csv
Luis,19,m,2012,charlottenburg-wilmersdorf.csv
Philipp,19,m,2012,charlottenburg-wilmersdorf.csv
Amelie,18,w,2012,charlottenburg-wilmersdorf.csv
Hanna,18,w,2012,charlottenburg-wilmersdorf.csv
Lisa,18,w,2012,charlottenburg-wilmersdorf.csv
Mila,18,w,2012,charlottenburg-wilmersdorf.csv
Bruno,18,m,2012,charlottenburg-wilmersdorf.csv
Viktoria,18,w,2012,charlottenburg-wilmersdorf.csv
Michael,18,m,2012,charlottenburg-wilmersdorf.csv
Julia,17,w,2012,charlottenburg-wilmersdorf.csv
Andreas,17,m,2012,charlottenburg-wilmersdorf.csv
Lara,17,w,2012,charlottenburg-wilmersdorf.csv
Gabriel,17,m,2012,charlottenburg-wilmersdorf.csv
Leonie,17,w,2012,charlottenburg-wilmersdorf.csv
Liam,17,m,2012,charlottenburg-wilmersdorf.csv
Max,17,m,2012,charlottenburg-wilmersdorf.csv
Niklas,17,m,2012,charlottenburg-wilmersdorf.csv
Richard,17,m,2012,charlottenburg-wilmersdorf.csv
Alma,16,w,2012,charlottenburg-wilmersdorf.csv
Pia,16,w,2012,charlottenburg-wilmersdorf.csv
Adrian,16,m,2012,charlottenburg-wilmersdorf.csv
Frederik,16,m,2012,charlottenburg-wilmersdorf.csv
Henry,16,m,2012,charlottenburg-wilmersdorf.csv
Konstantin,16,m,2012,charlottenburg-wilmersdorf.csv
Louis,16,m,2012,charlottenburg-wilmersdorf.csv
Maxim,16,m,2012,charlottenburg-wilmersdorf.csv
Mika,16,m,2012,charlottenburg-wilmersdorf.csv
Louisa,15,w,2012,charlottenburg-wilmersdorf.csv
Paula,15,w,2012,charlottenburg-wilmersdorf.csv
Arthur,15,m,2012,charlottenburg-wilmersdorf.csv
Leopold,15,m,2012,charlottenburg-wilmersdorf.csv
Linus,15,m,2012,charlottenburg-wilmersdorf.csv
Simon,15,m,2012,charlottenburg-wilmersdorf.csv
Theo,15,m,2012,charlottenburg-wilmersdorf.csv
Frieda,14,w,2012,charlottenburg-wilmersdorf.csv
Josefine,14,w,2012,charlottenburg-wilmersdorf.csv
Katharina,14,w,2012,charlottenburg-wilmersdorf.csv
Lia,14,w,2012,charlottenburg-wilmersdorf.csv
Rosa,14,w,2012,charlottenburg-wilmersdorf.csv
Sofia,14,w,2012,charlottenburg-wilmersdorf.csv
Aaron,14,m,2012,charlottenburg-wilmersdorf.csv
Ali,14,m,2012,charlottenburg-wilmersdorf.csv
Erik,14,m,2012,charlottenburg-wilmersdorf.csv
Justus,14,m,2012,charlottenburg-wilmersdorf.csv
Karl,14,m,2012,charlottenburg-wilmersdorf.csv
Oliver,14,m,2012,charlottenburg-wilmersdorf.csv
Robert,14,m,2012,charlottenburg-wilmersdorf.csv
Alexandra,13,w,2012,charlottenburg-wilmersdorf.csv
Amalia,13,w,2012,charlottenburg-wilmersdorf.csv
Ava,13,w,2012,charlottenburg-wilmersdorf.csv
Elena,13,w,2012,charlottenburg-wilmersdorf.csv
Lea,13,w,2012,charlottenburg-wilmersdorf.csv
Mira,13,w,2012,charlottenburg-wilmersdorf.csv
Nele,13,w,2012,charlottenburg-wilmersdorf.csv
Sarah,13,w,2012,charlottenburg-wilmersdorf.csv
Ferdinand,13,m,2012,charlottenburg-wilmersdorf.csv
Franz,13,m,2012,charlottenburg-wilmersdorf.csv
Henri,13,m,2012,charlottenburg-wilmersdorf.csv
Hugo,13,m,2012,charlottenburg-wilmersdorf.csv
Nils,13,m,2012,charlottenburg-wilmersdorf.csv
Peter,13,m,2012,charlottenburg-wilmersdorf.csv
Sebastian,13,m,2012,charlottenburg-wilmersdorf.csv
Tom,13,m,2012,charlottenburg-wilmersdorf.csv
Emily,12,w,2012,charlottenburg-wilmersdorf.csv
Lena,12,w,2012,charlottenburg-wilmersdorf.csv
Lotta,12,w,2012,charlottenburg-wilmersdorf.csv
Lucia,12,w,2012,charlottenburg-wilmersdorf.csv
Constantin,12,m,2012,charlottenburg-wilmersdorf.csv
Fabian,12,m,2012,charlottenburg-wilmersdorf.csv
Finn,12,m,2012,charlottenburg-wilmersdorf.csv
Florian,12,m,2012,charlottenburg-wilmersdorf.csv
Fritz,12,m,2012,charlottenburg-wilmersdorf.csv
Joshua,12,m,2012,charlottenburg-wilmersdorf.csv
Nico,12,m,2012,charlottenburg-wilmersdorf.csv
Rafael,12,m,2012,charlottenburg-wilmersdorf.csv
Tobias,12,m,2012,charlottenburg-wilmersdorf.csv
Ela,11,w,2012,charlottenburg-wilmersdorf.csv
Eva,11,w,2012,charlottenburg-wilmersdorf.csv
Ida,11,w,2012,charlottenburg-wilmersdorf.csv
Josephine,11,w,2012,charlottenburg-wilmersdorf.csv
Olivia,11,w,2012,charlottenburg-wilmersdorf.csv
Nicolas,11,m,2012,charlottenburg-wilmersdorf.csv
Thomas,11,m,2012,charlottenburg-wilmersdorf.csv
Anouk,10,w,2012,charlottenburg-wilmersdorf.csv
