Vorname,Anzahl,Geschlecht,Position,Jahr,Bezirk
Marie,77,w,2,2018,charlottenburg-wilmersdorf.csv
Sophie,64,w,2,2018,charlottenburg-wilmersdorf.csv
Maria,53,w,2,2018,charlottenburg-wilmersdorf.csv
Alexander,46,m,2,2018,charlottenburg-wilmersdorf.csv
Charlotte,45,w,2,2018,charlottenburg-wilmersdorf.csv
Anton,41,m,1,2018,charlottenburg-wilmersdorf.csv
Emilia,40,w,1,2018,charlottenburg-wilmersdorf.csv
Maximilian,39,m,2,2018,charlottenburg-wilmersdorf.csv
Emil,39,m,1,2018,charlottenburg-wilmersdorf.csv
Charlotte,39,w,1,2018,charlottenburg-wilmersdorf.csv
Maximilian,36,m,1,2018,charlottenburg-wilmersdorf.csv
Mila,36,w,1,2018,charlottenburg-wilmersdorf.csv
Clara,33,w,1,2018,charlottenburg-wilmersdorf.csv
Jakob,31,m,1,2018,charlottenburg-wilmersdorf.csv
Noah,31,m,1,2018,charlottenburg-wilmersdorf.csv
Elias,29,m,1,2018,charlottenburg-wilmersdorf.csv
Theodor,29,m,1,2018,charlottenburg-wilmersdorf.csv
Mia,28,w,1,2018,charlottenburg-wilmersdorf.csv
Anna,27,w,1,2018,charlottenburg-wilmersdorf.csv
Lina,27,w,1,2018,charlottenburg-wilmersdorf.csv
Alexander,27,m,1,2018,charlottenburg-wilmersdorf.csv
Marie,27,w,1,2018,charlottenburg-wilmersdorf.csv
Elisabeth,26,w,2,2018,charlottenburg-wilmersdorf.csv
Paul,26,m,1,2018,charlottenburg-wilmersdorf.csv
Emma,25,w,1,2018,charlottenburg-wilmersdorf.csv
Jonathan,25,m,1,2018,charlottenburg-wilmersdorf.csv
Leon,25,m,1,2018,charlottenburg-wilmersdorf.csv
Luise,24,w,2,2018,charlottenburg-wilmersdorf.csv
Julius,24,m,1,2018,charlottenburg-wilmersdorf.csv
Levi,24,m,1,2018,charlottenburg-wilmersdorf.csv
Emil,23,m,2,2018,charlottenburg-wilmersdorf.csv
Lea,23,w,1,2018,charlottenburg-wilmersdorf.csv
Ava,22,w,1,2018,charlottenburg-wilmersdorf.csv
Johanna,22,w,1,2018,charlottenburg-wilmersdorf.csv
Ben,22,m,1,2018,charlottenburg-wilmersdorf.csv
Felix,22,m,1,2018,charlottenburg-wilmersdorf.csv
Karl,22,m,1,2018,charlottenburg-wilmersdorf.csv
Niklas,22,m,1,2018,charlottenburg-wilmersdorf.csv
Leonard,21,m,2,2018,charlottenburg-wilmersdorf.csv
Hannah,21,w,1,2018,charlottenburg-wilmersdorf.csv
Sophia,21,w,1,2018,charlottenburg-wilmersdorf.csv
Leonard,21,m,1,2018,charlottenburg-wilmersdorf.csv
Liam,21,m,1,2018,charlottenburg-wilmersdorf.csv
Jonas,20,m,1,2018,charlottenburg-wilmersdorf.csv
Theo,20,m,1,2018,charlottenburg-wilmersdorf.csv
Paul,19,m,2,2018,charlottenburg-wilmersdorf.csv
Greta,19,w,1,2018,charlottenburg-wilmersdorf.csv
Maria,19,w,1,2018,charlottenburg-wilmersdorf.csv
Adam,19,m,1,2018,charlottenburg-wilmersdorf.csv
Leo,19,m,1,2018,charlottenburg-wilmersdorf.csv
Carl,18,m,2,2018,charlottenburg-wilmersdorf.csv
Hanna,18,w,1,2018,charlottenburg-wilmersdorf.csv
Ida,18,w,1,2018,charlottenburg-wilmersdorf.csv
David,18,m,1,2018,charlottenburg-wilmersdorf.csv
Louis,18,m,1,2018,charlottenburg-wilmersdorf.csv
Luca,18,m,1,2018,charlottenburg-wilmersdorf.csv
Anton,17,m,2,2018,charlottenburg-wilmersdorf.csv
Sophia,17,w,2,2018,charlottenburg-wilmersdorf.csv
Elias,17,m,2,2018,charlottenburg-wilmersdorf.csv
Alma,17,w,1,2018,charlottenburg-wilmersdorf.csv
Lara,17,w,1,2018,charlottenburg-wilmersdorf.csv
Lena,17,w,1,2018,charlottenburg-wilmersdorf.csv
Leni,17,w,1,2018,charlottenburg-wilmersdorf.csv
Adrian,17,m,1,2018,charlottenburg-wilmersdorf.csv
Arthur,17,m,1,2018,charlottenburg-wilmersdorf.csv
Finn,17,m,1,2018,charlottenburg-wilmersdorf.csv
Luis,17,m,1,2018,charlottenburg-wilmersdorf.csv
Moritz,17,m,1,2018,charlottenburg-wilmersdorf.csv
Philipp,17,m,1,2018,charlottenburg-wilmersdorf.csv
Anna,16,w,2,2018,charlottenburg-wilmersdorf.csv
Benjamin,16,m,2,2018,charlottenburg-wilmersdorf.csv
Ella,16,w,1,2018,charlottenburg-wilmersdorf.csv
Matilda,16,w,1,2018,charlottenburg-wilmersdorf.csv
Mira,16,w,1,2018,charlottenburg-wilmersdorf.csv
Paula,16,w,1,2018,charlottenburg-wilmersdorf.csv
Thea,16,w,1,2018,charlottenburg-wilmersdorf.csv
Victoria,16,w,1,2018,charlottenburg-wilmersdorf.csv
Lukas,16,m,1,2018,charlottenburg-wilmersdorf.csv
Emilia,15,w,2,2018,charlottenburg-wilmersdorf.csv
Ali,15,m,2,2018,charlottenburg-wilmersdorf.csv
Valentin,15,m,2,2018,charlottenburg-wilmersdorf.csv
Frieda,15,w,1,2018,charlottenburg-wilmersdorf.csv
Helena,15,w,1,2018,charlottenburg-wilmersdorf.csv
Klara,15,w,1,2018,charlottenburg-wilmersdorf.csv
