Vorname,Anzahl,Geschlecht,Jahr,Bezirk
Carlotta,16,w,2014,charlottenburg-wilmersdorf.csv
Matilda,16,w,2014,charlottenburg-wilmersdorf.csv
Ferdinand,16,m,2014,charlottenburg-wilmersdorf.csv
Finn,16,m,2014,charlottenburg-wilmersdorf.csv
Georg,16,m,2014,charlottenburg-wilmersdorf.csv
Malik,16,m,2014,charlottenburg-wilmersdorf.csv
Raphael,16,m,2014,charlottenburg-wilmersdorf.csv
Richard,16,m,2014,charlottenburg-wilmersdorf.csv
Sebastian,16,m,2014,charlottenburg-wilmersdorf.csv
Theo,16,m,2014,charlottenburg-wilmersdorf.csv
Elisa,15,w,2014,charlottenburg-wilmersdorf.csv
Hanna,15,w,2014,charlottenburg-wilmersdorf.csv
Lotta,15,w,2014,charlottenburg-wilmersdorf.csv
Paulina,15,w,2014,charlottenburg-wilmersdorf.csv
Henri,15,m,2014,charlottenburg-wilmersdorf.csv
Johann,15,m,2014,charlottenburg-wilmersdorf.csv
Liam,15,m,2014,charlottenburg-wilmersdorf.csv
Mateo,15,m,2014,charlottenburg-wilmersdorf.csv
Lotte,14,w,2014,charlottenburg-wilmersdorf.csv
Martha,14,w,2014,charlottenburg-wilmersdorf.csv
Pauline,14,w,2014,charlottenburg-wilmersdorf.csv
Valentina,14,w,2014,charlottenburg-wilmersdorf.csv
Fabian,14,m,2014,charlottenburg-wilmersdorf.csv
Konstantin,14,m,2014,charlottenburg-wilmersdorf.csv
Oliver,14,m,2014,charlottenburg-wilmersdorf.csv
Amelie,13,w,2014,charlottenburg-wilmersdorf.csv
Eva,13,w,2014,charlottenburg-wilmersdorf.csv
Isabella,13,w,2014,charlottenburg-wilmersdorf.csv
Julia,13,w,2014,charlottenburg-wilmersdorf.csv
Klara,13,w,2014,charlottenburg-wilmersdorf.csv
Leni,13,w,2014,charlottenburg-wilmersdorf.csv
Louise,13,w,2014,charlottenburg-wilmersdorf.csv
Margarete,13,w,2014,charlottenburg-wilmersdorf.csv
Can,13,m,2014,charlottenburg-wilmersdorf.csv
Nina,13,w,2014,charlottenburg-wilmersdorf.csv
Fritz,13,m,2014,charlottenburg-wilmersdorf.csv
Nils,13,m,2014,charlottenburg-wilmersdorf.csv
Amalia,12,w,2014,charlottenburg-wilmersdorf.csv
Florentine,12,w,2014,charlottenburg-wilmersdorf.csv
Jasper,12,m,2014,charlottenburg-wilmersdorf.csv
Viktoria,12,w,2014,charlottenburg-wilmersdorf.csv
Konrad,12,m,2014,charlottenburg-wilmersdorf.csv
Luca,12,m,2014,charlottenburg-wilmersdorf.csv
Martin,12,m,2014,charlottenburg-wilmersdorf.csv
Milo,12,m,2014,charlottenburg-wilmersdorf.csv
Ole,12,m,2014,charlottenburg-wilmersdorf.csv
Simon,12,m,2014,charlottenburg-wilmersdorf.csv
Emilie,11,w,2014,charlottenburg-wilmersdorf.csv
Friederike,11,w,2014,charlottenburg-wilmersdorf.csv
Lia,11,w,2014,charlottenburg-wilmersdorf.csv
Magdalena,11,w,2014,charlottenburg-wilmersdorf.csv
Nele,11,w,2014,charlottenburg-wilmersdorf.csv
Sara,11,w,2014,charlottenburg-wilmersdorf.csv
August,11,m,2014,charlottenburg-wilmersdorf.csv
Damian,11,m,2014,charlottenburg-wilmersdorf.csv
Erik,11,m,2014,charlottenburg-wilmersdorf.csv
Leander,11,m,2014,charlottenburg-wilmersdorf.csv
Mika,11,m,2014,charlottenburg-wilmersdorf.csv
Tom,11,m,2014,charlottenburg-wilmersdorf.csv
William,11,m,2014,charlottenburg-wilmersdorf.csv
Franziska,10,w,2014,charlottenburg-wilmersdorf.csv
Lilli,10,w,2014,charlottenburg-wilmersdorf.csv
Louisa,10,w,2014,charlottenburg-wilmersdorf.csv
Maja,10,w,2014,charlottenburg-wilmersdorf.csv
Pia,10,w,2014,charlottenburg-wilmersdorf.csv
Aaron,10,m,2014,charlottenburg-wilmersdorf.csv
Emilio,10,m,2014,charlottenburg-wilmersdorf.csv
Florian,10,m,2014,charlottenburg-wilmersdorf.csv
Gustav,10,m,2014,charlottenburg-wilmersdorf.csv
Jannis,10,m,2014,charlottenburg-wilmersdorf.csv
Lucas,10,m,2014,charlottenburg-wilmersdorf.csv
Mats,10,m,2014,charlottenburg-wilmersdorf.csv
Maxim,10,m,2014,charlottenburg-wilmersdorf.csv
Niklas,10,m,2014,charlottenburg-wilmersdorf.csv
Pepe,10,m,2014,charlottenburg-wilmersdorf.csv
Peter,10,m,2014,charlottenburg-wilmersdorf.csv
Wilhelm,10,m,2014,charlottenburg-wilmersdorf.csv
Aurelia,9,w,2014,charlottenburg-wilmersdorf.csv
Carla,9,w,2014,charlottenburg-wilmersdorf.csv
Elif,9,w,2014,charlottenburg-wilmersdorf.csv
Leonie,9,w,2014,charlottenburg-wilmersdorf.csv
Lisa,9,w,2014,charlottenburg-wilmersdorf.csv
Melina,9,w,2014,charlottenburg-wilmersdorf.csv
Merle,9,w,2014,charlottenburg-wilmersdorf.csv
Tilda,9,w,2014,charlottenburg-wilmersdorf.csv
Zoe,9,w,2014,charlottenburg-wilmersdorf.csv
Adam,9,m,2014,charlottenburg-wilmersdorf.csv
Adrian,9,m,2014,charlottenburg-wilmersdorf.csv
Emir,9,m,2014,charlottenburg-wilmersdorf.csv
Hans,9,m,2014,charlottenburg-wilmersdorf.csv
Juri,9,m,2014,charlottenburg-wilmersdorf.csv
Justus,9,m,2014,charlottenburg-wilmersdorf.csv
Kilian,9,m,2014,charlottenburg-wilmersdorf.csv
Leopold,9,m,2014,charlottenburg-wilmersdorf.csv
Milan,9,m,2014,charlottenburg-wilmersdorf.csv
Otto,9,m,2014,charlottenburg-wilmersdorf.csv
Alina,8,w,2014,charlottenburg-wilmersdorf.csv
Annika,8,w,2014,charlottenburg-wilmersdorf.csv
Ela,8,w,2014,charlottenburg-wilmersdorf.csv
Elena,8,w,2014,charlottenburg-wilmersdorf.csv
Elsa,8,w,2014,charlottenburg-wilmersdorf.csv
Felicitas,8,w,2014,charlottenburg-wilmersdorf.csv
Henriette,8,w,2014,charlottenburg-wilmersdorf.csv
Jana,8,w,2014,charlottenburg-wilmersdorf.csv
Lou,8,w,2014,charlottenburg-wilmersdorf.csv
Mina,8,w,2014,charlottenburg-wilmersdorf.csv
Rosalie,8,w,2014,charlottenburg-wilmersdorf.csv
Sarah,8,w,2014,charlottenburg-wilmersdorf.csv
Stella,8,w,2014,charlottenburg-wilmersdorf.csv
Theresa,8,w,2014,charlottenburg-wilmersdorf.csv
Amir,8,m,2014,charlottenburg-wilmersdorf.csv
Christopher,8,m,2014,charlottenburg-wilmersdorf.csv
Clemens,8,m,2014,charlottenburg-wilmersdorf.csv
Emilian,8,m,2014,charlottenburg-wilmersdorf.csv
Franz,8,m,2014,charlottenburg-wilmersdorf.csv
Heinrich,8,m,2014,charlottenburg-wilmersdorf.csv
Hugo,8,m,2014,charlottenburg-wilmersdorf.csv
Johan,8,m,2014,charlottenburg-wilmersdorf.csv
Jona,8,m,2014,charlottenburg-wilmersdorf.csv
Kurt,8,m,2014,charlottenburg-wilmersdorf.csv
Leonardo,8,m,2014,charlottenburg-wilmersdorf.csv
Matteo,8,m,2014,charlottenburg-wilmersdorf.csv
Mohammed,8,m,2014,charlottenburg-wilmersdorf.csv
Muhammed,8,m,2014,charlottenburg-wilmersdorf.csv
Ruben,8,m,2014,charlottenburg-wilmersdorf.csv
Titus,8,m,2014,charlottenburg-wilmersdorf.csv
Tobias,8,m,2014,charlottenburg-wilmersdorf.csv
Toni,8,m,2014,charlottenburg-wilmersdorf.csv
Yusuf,8,m,2014,charlottenburg-wilmersdorf.csv
Alexandra,7,w,2014,charlottenburg-wilmersdorf.csv
Amélie,7,w,2014,charlottenburg-wilmersdorf.csv
Dilara,7,w,2014,charlottenburg-wilmersdorf.csv
Isabel,7,w,2014,charlottenburg-wilmersdorf.csv
Isabelle,7,w,2014,charlottenburg-wilmersdorf.csv
Josefine,7,w,2014,charlottenburg-wilmersdorf.csv
Juna,7,w,2014,charlottenburg-wilmersdorf.csv
Leyla,7,w,2014,charlottenburg-wilmersdorf.csv
Lucie,7,w,2014,charlottenburg-wilmersdorf.csv
Luna,7,w,2014,charlottenburg-wilmersdorf.csv
Meryem,7,w,2014,charlottenburg-wilmersdorf.csv
Nika,7,w,2014,charlottenburg-wilmersdorf.csv
Nisa,7,w,2014,charlottenburg-wilmersdorf.csv
Albert,7,m,2014,charlottenburg-wilmersdorf.csv
Andreas,7,m,2014,charlottenburg-wilmersdorf.csv
Bruno,7,m,2014,charlottenburg-wilmersdorf.csv
Caspar,7,m,2014,charlottenburg-wilmersdorf.csv
Christoph,7,m,2014,charlottenburg-wilmersdorf.csv
Emanuel,7,m,2014,charlottenburg-wilmersdorf.csv
Filip,7,m,2014,charlottenburg-wilmersdorf.csv
Ibrahim,7,m,2014,charlottenburg-wilmersdorf.csv
Jacob,7,m,2014,charlottenburg-wilmersdorf.csv
Jannik,7,m,2014,charlottenburg-wilmersdorf.csv
Joel,7,m,2014,charlottenburg-wilmersdorf.csv
Ludwig,7,m,2014,charlottenburg-wilmersdorf.csv
Maria,7,m,2014,charlottenburg-wilmersdorf.csv
Mattis,7,m,2014,charlottenburg-wilmersdorf.csv
Mehmet,7,m,2014,charlottenburg-wilmersdorf.csv
Mustafa,7,m,2014,charlottenburg-wilmersdorf.csv
Nicolas,7,m,2014,charlottenburg-wilmersdorf.csv
Oscar,7,m,2014,charlottenburg-wilmersdorf.csv
Thomas,7,m,2014,charlottenburg-wilmersdorf.csv
Yasin,7,m,2014,charlottenburg-wilmersdorf.csv
Amelia,6,w,2014,charlottenburg-wilmersdorf.csv
Amina,6,w,2014,charlottenburg-wilmersdorf.csv
Amira,6,w,2014,charlottenburg-wilmersdorf.csv
Ana,6,w,2014,charlottenburg-wilmersdorf.csv
