Vorname,Anzahl,Geschlecht,Jahr,Bezirk
Marie,121,w,2013,charlottenburg-wilmersdorf.csv
Sophie,96,w,2013,charlottenburg-wilmersdorf.csv
Charlotte,77,w,2013,charlottenburg-wilmersdorf.csv
Emilia,66,w,2013,charlottenburg-wilmersdorf.csv
Paul,64,m,2013,charlottenburg-wilmersdorf.csv
Maria,60,w,2013,charlottenburg-wilmersdorf.csv
Alexander,59,m,2013,charlottenburg-wilmersdorf.csv
Luise,59,w,2013,charlottenburg-wilmersdorf.csv
Maximilian,58,m,2013,charlottenburg-wilmersdorf.csv
Anton,57,m,2013,charlottenburg-wilmersdorf.csv
Johanna,51,w,2013,charlottenburg-wilmersdorf.csv
Sophia,50,w,2013,charlottenburg-wilmersdorf.csv
Elias,47,m,2013,charlottenburg-wilmersdorf.csv
Emil,46,m,2013,charlottenburg-wilmersdorf.csv
Jonathan,43,m,2013,charlottenburg-wilmersdorf.csv
Anna,43,w,2013,charlottenburg-wilmersdorf.csv
Felix,41,m,2013,charlottenburg-wilmersdorf.csv
Jakob,41,m,2013,charlottenburg-wilmersdorf.csv
Elisabeth,38,w,2013,charlottenburg-wilmersdorf.csv
Noah,37,m,2013,charlottenburg-wilmersdorf.csv
Clara,35,w,2013,charlottenburg-wilmersdorf.csv
Emma,34,w,2013,charlottenburg-wilmersdorf.csv
Julius,33,m,2013,charlottenburg-wilmersdorf.csv
Julian,32,m,2013,charlottenburg-wilmersdorf.csv
Ella,32,w,2013,charlottenburg-wilmersdorf.csv
Helena,32,w,2013,charlottenburg-wilmersdorf.csv
Benjamin,31,m,2013,charlottenburg-wilmersdorf.csv
David,31,m,2013,charlottenburg-wilmersdorf.csv
Mia,31,w,2013,charlottenburg-wilmersdorf.csv
Leo,30,m,2013,charlottenburg-wilmersdorf.csv
Karl,28,m,2013,charlottenburg-wilmersdorf.csv
Ben,27,m,2013,charlottenburg-wilmersdorf.csv
Leon,27,m,2013,charlottenburg-wilmersdorf.csv
Louis,27,m,2013,charlottenburg-wilmersdorf.csv
Johann,26,m,2013,charlottenburg-wilmersdorf.csv
Johannes,26,m,2013,charlottenburg-wilmersdorf.csv
Theodor,26,m,2013,charlottenburg-wilmersdorf.csv
Friedrich,25,m,2013,charlottenburg-wilmersdorf.csv
Jonas,25,m,2013,charlottenburg-wilmersdorf.csv
Tim,25,m,2013,charlottenburg-wilmersdorf.csv
Helene,24,w,2013,charlottenburg-wilmersdorf.csv
Mila,24,w,2013,charlottenburg-wilmersdorf.csv
Luis,24,m,2013,charlottenburg-wilmersdorf.csv
Elisa,23,w,2013,charlottenburg-wilmersdorf.csv
Greta,23,w,2013,charlottenburg-wilmersdorf.csv
Marlene,23,w,2013,charlottenburg-wilmersdorf.csv
Henry,23,m,2013,charlottenburg-wilmersdorf.csv
Leonard,23,m,2013,charlottenburg-wilmersdorf.csv
Lukas,23,m,2013,charlottenburg-wilmersdorf.csv
Moritz,23,m,2013,charlottenburg-wilmersdorf.csv
Amelie,22,w,2013,charlottenburg-wilmersdorf.csv
Levi,22,m,2013,charlottenburg-wilmersdorf.csv
Theo,22,m,2013,charlottenburg-wilmersdorf.csv
Antonia,21,w,2013,charlottenburg-wilmersdorf.csv
Hannah,21,w,2013,charlottenburg-wilmersdorf.csv
Lea,21,w,2013,charlottenburg-wilmersdorf.csv
Linus,21,m,2013,charlottenburg-wilmersdorf.csv
Luisa,20,w,2013,charlottenburg-wilmersdorf.csv
Mathilda,20,w,2013,charlottenburg-wilmersdorf.csv
Daniel,20,m,2013,charlottenburg-wilmersdorf.csv
Oskar,20,m,2013,charlottenburg-wilmersdorf.csv
Lara,19,w,2013,charlottenburg-wilmersdorf.csv
Lina,19,w,2013,charlottenburg-wilmersdorf.csv
Frederik,19,m,2013,charlottenburg-wilmersdorf.csv
Ida,18,w,2013,charlottenburg-wilmersdorf.csv
Josephine,18,w,2013,charlottenburg-wilmersdorf.csv
Laura,18,w,2013,charlottenburg-wilmersdorf.csv
Aaron,18,m,2013,charlottenburg-wilmersdorf.csv
Niklas,18,m,2013,charlottenburg-wilmersdorf.csv
Valentin,18,m,2013,charlottenburg-wilmersdorf.csv
Frieda,17,w,2013,charlottenburg-wilmersdorf.csv
Julia,17,w,2013,charlottenburg-wilmersdorf.csv
Sarah,17,w,2013,charlottenburg-wilmersdorf.csv
Viktoria,17,w,2013,charlottenburg-wilmersdorf.csv
Bruno,17,m,2013,charlottenburg-wilmersdorf.csv
Carl,17,m,2013,charlottenburg-wilmersdorf.csv
Raphael,17,m,2013,charlottenburg-wilmersdorf.csv
Katharina,16,w,2013,charlottenburg-wilmersdorf.csv
Matilda,16,w,2013,charlottenburg-wilmersdorf.csv
Maya,16,w,2013,charlottenburg-wilmersdorf.csv
Pauline,16,w,2013,charlottenburg-wilmersdorf.csv
Rosa,16,w,2013,charlottenburg-wilmersdorf.csv
Adrian,16,m,2013,charlottenburg-wilmersdorf.csv
Jan,16,m,2013,charlottenburg-wilmersdorf.csv
Liam,16,m,2013,charlottenburg-wilmersdorf.csv
Luca,16,m,2013,charlottenburg-wilmersdorf.csv
Ole,16,m,2013,charlottenburg-wilmersdorf.csv
Philipp,16,m,2013,charlottenburg-wilmersdorf.csv
Vincent,16,m,2013,charlottenburg-wilmersdorf.csv
Amalia,15,w,2013,charlottenburg-wilmersdorf.csv
Josefine,15,w,2013,charlottenburg-wilmersdorf.csv
Maja,15,w,2013,charlottenburg-wilmersdorf.csv
Paula,15,w,2013,charlottenburg-wilmersdorf.csv
Sofia,15,w,2013,charlottenburg-wilmersdorf.csv
Arthur,15,m,2013,charlottenburg-wilmersdorf.csv
Benedikt,15,m,2013,charlottenburg-wilmersdorf.csv
Finn,15,m,2013,charlottenburg-wilmersdorf.csv
Joshua,15,m,2013,charlottenburg-wilmersdorf.csv
Max,15,m,2013,charlottenburg-wilmersdorf.csv
Alma,14,w,2013,charlottenburg-wilmersdorf.csv
Hanna,14,w,2013,charlottenburg-wilmersdorf.csv
Isabella,14,w,2013,charlottenburg-wilmersdorf.csv
Leni,14,w,2013,charlottenburg-wilmersdorf.csv
Martha,14,w,2013,charlottenburg-wilmersdorf.csv
Stella,14,w,2013,charlottenburg-wilmersdorf.csv
Theresa,14,w,2013,charlottenburg-wilmersdorf.csv
Valentina,14,w,2013,charlottenburg-wilmersdorf.csv
Victoria,14,w,2013,charlottenburg-wilmersdorf.csv
Ali,14,m,2013,charlottenburg-wilmersdorf.csv
Emir,14,m,2013,charlottenburg-wilmersdorf.csv
Georg,14,m,2013,charlottenburg-wilmersdorf.csv
Henrik,14,m,2013,charlottenburg-wilmersdorf.csv
Justus,14,m,2013,charlottenburg-wilmersdorf.csv
Leander,14,m,2013,charlottenburg-wilmersdorf.csv
Luka,14,m,2013,charlottenburg-wilmersdorf.csv
Milan,14,m,2013,charlottenburg-wilmersdorf.csv
Simon,14,m,2013,charlottenburg-wilmersdorf.csv
Tom,14,m,2013,charlottenburg-wilmersdorf.csv
Alexandra,13,w,2013,charlottenburg-wilmersdorf.csv
Emily,13,w,2013,charlottenburg-wilmersdorf.csv
Lilly,13,w,2013,charlottenburg-wilmersdorf.csv
Ferdinand,13,m,2013,charlottenburg-wilmersdorf.csv
Konstantin,13,m,2013,charlottenburg-wilmersdorf.csv
Richard,13,m,2013,charlottenburg-wilmersdorf.csv
Samuel,13,m,2013,charlottenburg-wilmersdorf.csv
Thomas,13,m,2013,charlottenburg-wilmersdorf.csv
Carla,12,w,2013,charlottenburg-wilmersdorf.csv
Eva,12,w,2013,charlottenburg-wilmersdorf.csv
Lena,12,w,2013,charlottenburg-wilmersdorf.csv
Leonie,12,w,2013,charlottenburg-wilmersdorf.csv
Mina,12,w,2013,charlottenburg-wilmersdorf.csv
Zoe,12,w,2013,charlottenburg-wilmersdorf.csv
Christian,12,m,2013,charlottenburg-wilmersdorf.csv
Emilian,12,m,2013,charlottenburg-wilmersdorf.csv
Fabian,12,m,2013,charlottenburg-wilmersdorf.csv
Fritz,12,m,2013,charlottenburg-wilmersdorf.csv
Hugo,12,m,2013,charlottenburg-wilmersdorf.csv
Leopold,12,m,2013,charlottenburg-wilmersdorf.csv
Michael,12,m,2013,charlottenburg-wilmersdorf.csv
Peter,12,m,2013,charlottenburg-wilmersdorf.csv
Carlotta,11,w,2013,charlottenburg-wilmersdorf.csv
Klara,11,w,2013,charlottenburg-wilmersdorf.csv
Romy,11,w,2013,charlottenburg-wilmersdorf.csv
Adam,11,m,2013,charlottenburg-wilmersdorf.csv
Caspar,11,m,2013,charlottenburg-wilmersdorf.csv
Frederick,11,m,2013,charlottenburg-wilmersdorf.csv
Gabriel,11,m,2013,charlottenburg-wilmersdorf.csv
Joel,11,m,2013,charlottenburg-wilmersdorf.csv
Martin,11,m,2013,charlottenburg-wilmersdorf.csv
Mateo,11,m,2013,charlottenburg-wilmersdorf.csv
Mattis,11,m,2013,charlottenburg-wilmersdorf.csv
Otto,11,m,2013,charlottenburg-wilmersdorf.csv
Ada,10,w,2013,charlottenburg-wilmersdorf.csv
Aurelia,10,w,2013,charlottenburg-wilmersdorf.csv
Leyla,10,w,2013,charlottenburg-wilmersdorf.csv
Louisa,10,w,2013,charlottenburg-wilmersdorf.csv
Louise,10,w,2013,charlottenburg-wilmersdorf.csv
Luna,10,w,2013,charlottenburg-wilmersdorf.csv
Nele,10,w,2013,charlottenburg-wilmersdorf.csv
Andreas,10,m,2013,charlottenburg-wilmersdorf.csv
August,10,m,2013,charlottenburg-wilmersdorf.csv
Eric,10,m,2013,charlottenburg-wilmersdorf.csv
Erik,10,m,2013,charlottenburg-wilmersdorf.csv
Kilian,10,m,2013,charlottenburg-wilmersdorf.csv
Lasse,10,m,2013,charlottenburg-wilmersdorf.csv
Lucas,10,m,2013,charlottenburg-wilmersdorf.csv
Malik,10,m,2013,charlottenburg-wilmersdorf.csv
Mats,10,m,2013,charlottenburg-wilmersdorf.csv
Mika,10,m,2013,charlottenburg-wilmersdorf.csv
Nicolas,10,m,2013,charlottenburg-wilmersdorf.csv
Robert,10,m,2013,charlottenburg-wilmersdorf.csv
Sebastian,10,m,2013,charlottenburg-wilmersdorf.csv
Amina,9,w,2013,charlottenburg-wilmersdorf.csv
Amélie,9,w,2013,charlottenburg-wilmersdorf.csv
Ela,9,w,2013,charlottenburg-wilmersdorf.csv
Elise,9,w,2013,charlottenburg-wilmersdorf.csv
Florentine,9,w,2013,charlottenburg-wilmersdorf.csv
Lia,9,w,2013,charlottenburg-wilmersdorf.csv
Lotta,9,w,2013,charlottenburg-wilmersdorf.csv
Margarete,9,w,2013,charlottenburg-wilmersdorf.csv
Nora,9,w,2013,charlottenburg-wilmersdorf.csv
Olivia,9,w,2013,charlottenburg-wilmersdorf.csv
Rose,9,w,2013,charlottenburg-wilmersdorf.csv
Sara,9,w,2013,charlottenburg-wilmersdorf.csv
Yasmin,9,w,2013,charlottenburg-wilmersdorf.csv
Can,9,m,2013,charlottenburg-wilmersdorf.csv
Emilio,9,m,2013,charlottenburg-wilmersdorf.csv
Konrad,9,m,2013,charlottenburg-wilmersdorf.csv
Philip,9,m,2013,charlottenburg-wilmersdorf.csv
Wolfgang,9,m,2013,charlottenburg-wilmersdorf.csv
Alina,8,w,2013,charlottenburg-wilmersdorf.csv
Ava,8,w,2013,charlottenburg-wilmersdorf.csv
Elif,8,w,2013,charlottenburg-wilmersdorf.csv
Elsa,8,w,2013,charlottenburg-wilmersdorf.csv
Emilie,8,w,2013,charlottenburg-wilmersdorf.csv
Felicitas,8,w,2013,charlottenburg-wilmersdorf.csv
Franziska,8,w,2013,charlottenburg-wilmersdorf.csv
Frida,8,w,2013,charlottenburg-wilmersdorf.csv
Liv,8,w,2013,charlottenburg-wilmersdorf.csv
Lotte,8,w,2013,charlottenburg-wilmersdorf.csv
Mira,8,w,2013,charlottenburg-wilmersdorf.csv
Miriam,8,w,2013,charlottenburg-wilmersdorf.csv
Amir,8,m,2013,charlottenburg-wilmersdorf.csv
Bela,8,m,2013,charlottenburg-wilmersdorf.csv
Constantin,8,m,2013,charlottenburg-wilmersdorf.csv
Efe,8,m,2013,charlottenburg-wilmersdorf.csv
Franz,8,m,2013,charlottenburg-wilmersdorf.csv
Hamza,8,m,2013,charlottenburg-wilmersdorf.csv
Ibrahim,8,m,2013,charlottenburg-wilmersdorf.csv
Johan,8,m,2013,charlottenburg-wilmersdorf.csv
Juri,8,m,2013,charlottenburg-wilmersdorf.csv
Kian,8,m,2013,charlottenburg-wilmersdorf.csv
Lennart,8,m,2013,charlottenburg-wilmersdorf.csv
Oscar,8,m,2013,charlottenburg-wilmersdorf.csv
Rafael,8,m,2013,charlottenburg-wilmersdorf.csv
Ruben,8,m,2013,charlottenburg-wilmersdorf.csv
Timo,8,m,2013,charlottenburg-wilmersdorf.csv
Tobias,8,m,2013,charlottenburg-wilmersdorf.csv
Victor,8,m,2013,charlottenburg-wilmersdorf.csv
Amira,7,w,2013,charlottenburg-wilmersdorf.csv
Annika,7,w,2013,charlottenburg-wilmersdorf.csv
Christine,7,w,2013,charlottenburg-wilmersdorf.csv
Henriette,7,w,2013,charlottenburg-wilmersdorf.csv
Lisa,7,w,2013,charlottenburg-wilmersdorf.csv
Lucia,7,w,2013,charlottenburg-wilmersdorf.csv
Magdalena,7,w,2013,charlottenburg-wilmersdorf.csv
Mara,7,w,2013,charlottenburg-wilmersdorf.csv
Nina,7,w,2013,charlottenburg-wilmersdorf.csv
Noemi,7,w,2013,charlottenburg-wilmersdorf.csv
Zeynep,7,w,2013,charlottenburg-wilmersdorf.csv
Antonio,7,m,2013,charlottenburg-wilmersdorf.csv
Bastian,7,m,2013,charlottenburg-wilmersdorf.csv
Christopher,7,m,2013,charlottenburg-wilmersdorf.csv
Deniz,7,m,2013,charlottenburg-wilmersdorf.csv
Florian,7,m,2013,charlottenburg-wilmersdorf.csv
Gustav,7,m,2013,charlottenburg-wilmersdorf.csv
Jona,7,m,2013,charlottenburg-wilmersdorf.csv
Jonah,7,m,2013,charlottenburg-wilmersdorf.csv
Klaus,7,m,2013,charlottenburg-wilmersdorf.csv
Lennox,7,m,2013,charlottenburg-wilmersdorf.csv
Ludwig,7,m,2013,charlottenburg-wilmersdorf.csv
Mio,7,m,2013,charlottenburg-wilmersdorf.csv
Mohamed,7,m,2013,charlottenburg-wilmersdorf.csv
Muhammed,7,m,2013,charlottenburg-wilmersdorf.csv
Mustafa,7,m,2013,charlottenburg-wilmersdorf.csv
Nils,7,m,2013,charlottenburg-wilmersdorf.csv
Stefan,7,m,2013,charlottenburg-wilmersdorf.csv
Viktor,7,m,2013,charlottenburg-wilmersdorf.csv
Adele,6,w,2013,charlottenburg-wilmersdorf.csv
Alice,6,w,2013,charlottenburg-wilmersdorf.csv
Chiara,6,w,2013,charlottenburg-wilmersdorf.csv
Elena,6,w,2013,charlottenburg-wilmersdorf.csv
Esther,6,w,2013,charlottenburg-wilmersdorf.csv
Finja,6,w,2013,charlottenburg-wilmersdorf.csv
Hana,6,w,2013,charlottenburg-wilmersdorf.csv
Isabelle,6,w,2013,charlottenburg-wilmersdorf.csv
Marta,6,w,2013,charlottenburg-wilmersdorf.csv
Mathilde,6,w,2013,charlottenburg-wilmersdorf.csv
Melissa,6,w,2013,charlottenburg-wilmersdorf.csv
Melody,6,w,2013,charlottenburg-wilmersdorf.csv
Milla,6,w,2013,charlottenburg-wilmersdorf.csv
Nisa,6,w,2013,charlottenburg-wilmersdorf.csv
Paulina,6,w,2013,charlottenburg-wilmersdorf.csv
Pia,6,w,2013,charlottenburg-wilmersdorf.csv
Sofie,6,w,2013,charlottenburg-wilmersdorf.csv
Alan,6,m,2013,charlottenburg-wilmersdorf.csv
Carlos,6,m,2013,charlottenburg-wilmersdorf.csv
Edgar,6,m,2013,charlottenburg-wilmersdorf.csv
Ege,6,m,2013,charlottenburg-wilmersdorf.csv
Gregor,6,m,2013,charlottenburg-wilmersdorf.csv
Heinrich,6,m,2013,charlottenburg-wilmersdorf.csv
Henri,6,m,2013,charlottenburg-wilmersdorf.csv
Jakub,6,m,2013,charlottenburg-wilmersdorf.csv
James,6,m,2013,charlottenburg-wilmersdorf.csv
Jannik,6,m,2013,charlottenburg-wilmersdorf.csv
John,6,m,2013,charlottenburg-wilmersdorf.csv
Joris,6,m,2013,charlottenburg-wilmersdorf.csv
Kaan,6,m,2013,charlottenburg-wilmersdorf.csv
Lennard,6,m,2013,charlottenburg-wilmersdorf.csv
Luke,6,m,2013,charlottenburg-wilmersdorf.csv
Manuel,6,m,2013,charlottenburg-wilmersdorf.csv
Matteo,6,m,2013,charlottenburg-wilmersdorf.csv
Maxim,6,m,2013,charlottenburg-wilmersdorf.csv
Nikolas,6,m,2013,charlottenburg-wilmersdorf.csv
Oliver,6,m,2013,charlottenburg-wilmersdorf.csv
